ad_id,rooms,metro,area_sqm,parking,target,description,renovation,balcony,windows,additional,ceiling_height_m,elevator,garbage_chute,total_bathrooms,is_center,has_furniture,has_washer,children_allowed,pets_allowed
271271157,4,9,200.0,1,500000.0,532,3.0,0,1.0,11.0,3.0,1,1,1,0,1,0,1,1
271634126,4,8,198.0,1,500000.0,857,3.0,0,3.0,10.0,3.5,1,0,3,0,1,1,1,0
271173086,4,7,200.0,1,500000.0,1013,2.0,0,3.0,11.0,3.2,1,0,3,0,1,0,1,0
272197456,4,3,170.0,1,400000.0,1013,2.0,0,3.0,11.0,3.2,1,0,3,0,1,0,0,1
273614615,2,7,58.0,0,225000.0,773,2.0,0,3.0,9.0,3.9,1,1,2,0,0,1,0,0
274837728,3,5,92.0,0,470000.0,1013,3.0,0,1.0,9.0,2.7543481727574752,0,0,1,0,1,0,0,0
273643908,5,4,213.0,1,350000.0,989,2.0,0,3.0,9.0,3.2,1,0,2,0,1,1,1,1
274475342,3,3,98.0,1,250000.0,729,2.0,0,1.0,9.0,3.2,1,0,2,0,1,1,1,1
273973191,3,9,120.0,1,130000.0,558,2.0,0,2.0,8.0,3.0,1,0,1,0,0,1,0,1
272900409,4,10,90.0,1,210000.0,707,2.0,1,3.0,9.0,3.1,1,1,2,0,0,1,1,0
271036964,4,5,170.0,1,290000.0,1013,2.0,0,3.0,11.0,3.2,1,0,3,0,1,0,1,0
273999490,3,2,80.0,0,100000.0,163,2.0,3,3.0,8.0,2.7543481727574752,1,0,1,0,1,0,0,0
274017037,3,8,100.0,0,200000.0,776,3.0,0,1.0,11.0,2.7543481727574752,1,0,2,0,0,0,1,1
273231024,5,9,180.0,0,500000.0,809,3.0,1,2.0,11.0,2.7543481727574752,1,0,3,0,0,0,1,1
274839211,5,5,222.2,1,450000.0,818,2.0,1,1.0,7.0,2.7543481727574752,1,0,2,0,0,0,0,0
274767901,5,6,225.0,0,450000.0,542,3.0,0,1.0,0.0,2.7543481727574752,1,1,1,0,0,0,0,0
274995950,2,10,30.0,0,120000.0,426,2.0,0,2.0,11.0,2.7543481727574752,0,0,1,0,0,0,1,1
274945807,5,5,222.0,0,450000.0,1013,3.0,1,1.0,10.0,2.7543481727574752,0,0,1,0,1,0,1,1
272911145,5,12,150.0,1,180000.0,881,2.0,1,1.0,8.0,2.7543481727574752,1,0,2,0,0,0,0,0
274748017,5,6,201.0,0,190000.0,1013,2.0,0,3.0,10.0,3.2,1,0,3,0,0,0,1,1
273941734,2,9,64.0,0,205000.0,403,2.0,0,2.0,9.0,2.7543481727574752,0,0,2,0,0,0,1,1
274493570,3,5,112.0,1,230000.0,1013,2.0,1,3.0,10.0,3.2,1,0,2,0,1,1,1,0
274849101,4,5,190.0,0,590000.0,808,3.0,0,1.0,8.0,2.7543481727574752,0,0,1,0,0,0,0,0
223918678,5,8,255.6,0,850000.0,662,2.0,0,1.0,11.0,2.7543481727574752,0,0,3,0,1,0,1,1
274391259,5,5,186.0,1,190000.0,678,2.0,0,3.0,10.0,3.3,0,1,2,0,0,1,1,1
272945376,3,5,100.0,1,200000.0,1013,2.0,0,3.0,11.0,3.2,1,0,2,0,1,1,1,1
272612966,5,11,150.0,0,200000.0,490,2.0,1,1.0,9.0,2.7543481727574752,1,0,2,0,0,0,0,0
271568490,5,7,140.0,0,300000.0,1013,3.0,0,2.0,7.0,2.7543481727574752,1,0,1,0,0,0,1,0
264664760,3,15,132.8,0,400000.0,457,2.0,0,1.0,11.0,2.7543481727574752,0,0,2,0,0,0,1,1
228923308,5,10,256.0,1,750000.0,1013,3.0,0,3.0,10.0,3.0,1,1,4,0,1,1,1,1
267489303,6,5,380.0,1,870000.0,931,1.0,0,3.0,9.0,4.0,1,1,3,0,0,1,1,1
273353104,3,7,112.0,1,350000.0,355,0.0,0,1.0,10.0,3.15,0,1,2,0,0,0,0,0
273353103,2,7,91.0,1,400000.0,398,0.0,0,1.0,10.0,3.15,0,1,2,0,0,0,0,0
268321690,3,11,135.0,1,400000.0,523,3.0,0,3.0,5.0,2.7543481727574752,1,0,2,0,0,0,1,1
269496185,4,3,190.0,1,590000.0,855,3.0,0,3.0,10.0,3.2,1,0,2,0,1,1,1,0
272188531,2,15,44.0,0,135000.0,1027,0.0,0,1.0,10.0,4.15,0,1,1,0,1,1,0,0
272727784,3,60,85.0,0,150000.0,467,2.0,1,1.0,11.0,2.7543481727574752,0,0,1,0,0,0,1,1
